年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),最大風速(m/s),風向,最大瞬間風速(m/s),風向,最多風向(16方位),平均蒸気圧(hPa),最小相対湿度(％),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2021/1/1,-1.9,0.9,-3.5,5.5,1.4,1.2,4.9,北東,6.9,北東,東北東,4.9,77,92,雪時々曇一時晴,晴時々曇
2021/1/2,-2.3,1.3,-4.5,0,0.1,1.7,6.8,北,10.6,北,東北東,4.6,73,89,曇時々雪一時晴,晴時々曇一時雪
2021/1/3,-2.5,0.7,-5.5,0,1.6,1.3,3.6,東,4.9,東北東,東,4.6,79,89,曇時々雪一時晴,晴時々曇一時雪
2021/1/4,-1.4,3.5,-5.3,0,4.4,1.1,3.2,東北東,4.3,東北東,東,4.9,72,89,曇一時雪後晴,晴後時々曇
2021/1/5,-0.6,2.7,-3,0,1.5,1,2.7,西南西,4,西南西,東,5.3,76,90,曇後一時晴,曇時々晴
2021/1/6,0.4,4.2,-2.7,0,7.4,2.2,6.2,北東,8.9,東北東,東北東,4.9,57,78,晴時々曇,曇時々晴
2021/1/7,-1.1,5.5,-4.6,0.5,3.1,2.7,8.1,南西,14.1,西南西,西,4.1,36,76,曇一時晴後時々雪,曇時々雪
2021/1/8,-3.8,-2,-5,1.5,0,1,2.6,東,4,東,東北東,4.1,78,89,曇時々雪,雪時々曇
2021/1/9,-2.7,0.8,-4.8,0,4,2,5,西,7.4,西,西北西,3.7,43,76,曇後一時晴,曇時々晴一時雪
2021/1/10,-2.8,1.1,-6.1,0,6.5,1.5,4.1,東北東,6.8,東北東,東北東,3.8,54,77,晴時々曇,晴後時々雪一時曇
2021/1/11,-1.4,2,-3.9,1,5,1.4,3.7,西南西,5.8,西北西,西,4.3,55,79,曇時々晴一時雪,曇
2021/1/12,-0.2,1,-1.6,0.5,0,1.9,6.1,西,9.7,西,南南西,4.9,52,82,曇時々雪,曇一時雪
2021/1/13,1.1,6.4,-2.2,0,6.7,1.5,4.2,東,6.4,東北東,南西,5.3,49,81,晴時々曇,晴
2021/1/14,1.4,9,-3.9,0,8.2,2.4,8.5,北東,12.9,北東,北東,5.6,55,83,晴後一時雨、みぞれを伴う,晴時々曇
2021/1/15,3.4,11.3,-2.9,0,7.8,1.9,4.5,南南西,7.6,南西,西南西,5.7,43,75,晴時々曇、霧を伴う,晴
2021/1/16,0.6,3.8,-1.9,11,1.3,2.5,6,東北東,9.1,東北東,東北東,5.8,71,91,みぞれ時々曇一時雪,曇時々晴一時雪、みぞれを伴う
2021/1/17,0.3,3.5,-1.9,0,1.4,2.3,4.6,北東,6.8,北東,東北東,4.9,63,79,曇,晴時々曇
2021/1/18,0.6,5.2,-2.8,0,6.1,1.5,3.6,西北西,6.1,西北西,西南西,4.7,51,75,晴時々曇,雪時々曇
2021/1/19,-2.3,-0.3,-4.4,3.5,3.7,4.6,10,東,14.1,東,東,4.4,72,85,曇時々雪一時晴,晴時々雪
2021/1/20,-2.3,2.8,-6.1,0,8.2,2.1,4.6,北,7.9,北北東,西,3.8,50,74,晴時々曇,晴
2021/1/21,-1.2,5.8,-6.7,0,9.1,1.4,4.4,西南西,5.8,南西,東北東,4.3,48,78,晴時々曇,晴
2021/1/22,1.4,6.3,-3.8,0,3.5,0.9,2.2,南西,4,西南西,東南東,5.9,56,87,曇時々晴後一時雨、みぞれを伴う,曇時々晴
2021/1/23,2.7,4.4,0.8,3.5,0,1.5,3.8,東南東,5.5,東南東,東北東,6.5,68,88,曇後時々みぞれ,みぞれ後時々雨
2021/1/24,4,6.4,1.5,10.5,0,2.6,6.2,西南西,10.2,南西,南西,7.4,80,91,雨後時々曇,曇時々雨
2021/1/25,4.1,9.4,-0.1,0,6.2,1.2,3.3,東南東,5.1,東南東,東南東,6.9,56,86,曇時々晴,晴一時曇
2021/1/26,5,10.8,-2.4,0,5.9,3.4,8.3,西南西,12.1,南西,西南西,5.5,37,67,曇時々晴,雨時々曇
2021/1/27,5.2,9.6,2.2,1,2.6,3.6,9.5,北,15.4,北北東,北北東,7.2,65,81,曇後一時雨、みぞれを伴う,曇
2021/1/28,3.1,7.6,-0.7,0,2.6,3.3,8.3,西南西,14,南西,西南西,5.4,52,71,曇後一時雨,晴後時々曇一時雪、みぞれを伴う
2021/1/29,-0.4,6.1,-3.3,0.5,0.5,3.2,11.1,西北西,19.4,西,南西,4.5,50,76,曇時々雪,雪時々曇一時晴
2021/1/30,-0.8,3.9,-5.6,0,7.9,2.5,7.5,東,10.9,東,東北東,3.5,29,63,晴時々曇,曇後時々雪一時晴
2021/1/31,-0.8,2.6,-4.1,0.5,3,3.2,7.9,東,12.4,東,東北東,5.1,65,88,雪時々曇、みぞれを伴う,晴
2021/2/1,3.8,11,-5.5,0,6.1,3.8,8,西,12.1,西,西,5,33,65,晴後時々曇一時雨,雨
2021/2/2,2.9,7.7,-1.7,6.5,1,3.2,9.6,東,15,東,東北東,6.8,72,89,曇時々雨、みぞれを伴う,晴後曇一時雪
2021/2/3,0,4,-2.3,0,3.9,1.7,6,東,10.2,東,東,4.5,31,75,曇時々晴一時雪,晴時々曇
2021/2/4,-0.6,3.5,-4.4,0,0.6,1.8,6.3,西南西,9.6,南,北東,4.8,47,82,曇後時々みぞれ一時雪,曇一時雪
2021/2/5,1.3,7.4,-3.6,0,9.2,1.5,4.1,東北東,6.4,東,北,4.5,37,70,晴時々曇,曇後晴
2021/2/6,3.4,12.8,-3.5,0,9.6,2,6.6,北,12.1,北,東,5,27,68,晴,晴
2021/2/7,2.2,10.5,-2.2,0,4.8,2.2,6.5,北,10.2,西,東北東,5.9,49,84,晴後時々雨、みぞれを伴う,みぞれ後曇時々雪
2021/2/8,-0.9,1.6,-3.4,1.5,2.6,3.7,6.9,北,10.6,東,東北東,4.7,56,82,曇一時雪,雪時々曇一時晴
2021/2/9,-2.7,2.5,-5.7,0,4.7,1.8,5.1,北東,7.5,東北東,東北東,3.9,55,78,曇時々晴一時雪,晴時々曇一時雪
